LP NO,FUKABI,SHOBUN
LP_0518,2018/01/28,警告
LP_0734,2020/12/17,厳重注意
LP_0734,2023/08/20,厳重注意
LP_0471,2017/11/20,注意
LP_0471,2024/07/22,厳重注意
LP_0052,2020/06/04,注意
LP_0052,2019/03/03,注意
LP_0052,2023/10/12,警告
LP_0367,2021/06/03,厳重注意
LP_0367,2016/05/05,警告
LP_0367,2017/12/15,警告
LP_0339,2019/10/22,注意
LP_0339,2023/12/13,注意
LP_0115,2019/07/22,注意
LP_0115,2017/12/14,警告
LP_0115,2019/07/15,厳重注意
LP_0986,2023/08/12,厳重注意
LP_0986,2023/07/04,注意
LP_0625,2015/03/06,厳重注意
LP_0913,2016/06/26,注意
LP_0749,2015/10/13,注意
LP_0341,2016/05/27,警告
LP_0341,2015/03/03,注意
LP_0860,2023/12/04,厳重注意
LP_0860,2016/07/17,警告
LP_0897,2021/05/02,厳重注意
LP_0897,2017/03/15,注意
LP_0897,2022/09/27,警告
LP_0640,2015/07/18,厳重注意
LP_0165,2023/10/17,厳重注意
LP_0165,2020/03/01,厳重注意
LP_0051,2023/02/24,厳重注意
LP_0051,2017/06/01,厳重注意
LP_0914,2024/03/24,厳重注意
LP_0914,2024/07/17,厳重注意
LP_0847,2019/10/11,注意
LP_0847,2023/10/17,警告
LP_0805,2021/01/22,警告
LP_0805,2022/12/23,厳重注意
LP_0805,2022/08/24,注意
LP_0272,2019/07/11,警告
LP_0364,2019/05/22,注意
LP_0364,2022/04/10,厳重注意
LP_0330,2024/06/09,警告
LP_0330,2018/07/04,厳重注意
LP_0033,2018/09/11,警告
LP_0795,2023/08/05,注意
LP_0795,2023/10/15,注意
LP_0521,2021/02/25,注意
LP_0521,2017/04/27,厳重注意
LP_0521,2023/01/21,厳重注意
LP_0519,2015/10/07,注意
LP_0519,2024/06/09,警告
LP_0568,2017/08/24,厳重注意
LP_0568,2018/12/24,注意
LP_0085,2023/05/15,警告
LP_0085,2023/09/20,警告
LP_0377,2020/05/13,注意
LP_0654,2015/04/12,警告
LP_0654,2015/07/15,警告
LP_0654,2017/03/16,厳重注意
LP_0590,2024/03/09,警告
LP_0590,2021/08/01,注意
LP_0247,2020/06/06,警告
LP_0629,2016/04/01,警告
LP_0629,2015/08/11,警告
LP_0629,2020/06/10,注意
LP_0217,2021/06/21,警告
LP_0217,2019/09/18,厳重注意
LP_0217,2023/11/08,厳重注意
LP_0820,2022/10/11,注意
LP_0820,2016/02/28,注意
LP_0820,2024/08/03,厳重注意
LP_0032,2019/06/20,厳重注意
LP_0032,2017/08/14,警告
LP_0032,2020/09/10,厳重注意
LP_0062,2023/08/07,注意
LP_0062,2024/04/26,厳重注意
LP_0597,2017/03/27,厳重注意
LP_0597,2023/04/13,厳重注意
LP_0221,2017/02/20,警告
LP_0221,2017/03/24,注意
LP_0221,2018/07/05,注意
LP_0905,2016/02/15,厳重注意
LP_0748,2024/05/23,注意
LP_0748,2023/01/25,厳重注意
LP_0748,2024/01/20,厳重注意
LP_0211,2021/07/23,警告
LP_0211,2024/09/17,注意
LP_0211,2024/06/13,厳重注意
LP_0024,2022/03/15,厳重注意
LP_0555,2021/10/07,警告
LP_0555,2019/02/21,警告
LP_0555,2015/02/01,警告
LP_0440,2015/07/21,警告
LP_0440,2022/07/10,厳重注意
LP_0440,2016/03/17,注意
LP_0465,2020/02/15,注意
LP_0465,2022/05/05,警告
LP_0727,2022/05/27,警告
LP_0727,2016/03/15,警告
LP_0727,2018/02/20,警告
LP_0481,2023/07/18,警告
LP_0481,2019/02/02,警告
LP_0481,2016/01/09,警告
LP_0134,2023/01/20,厳重注意
LP_0134,2018/09/12,警告
LP_0134,2017/03/10,厳重注意
LP_0528,2015/11/06,警告
LP_0642,2016/07/09,警告
LP_0642,2019/12/12,厳重注意
LP_0642,2016/09/10,注意
LP_0853,2022/10/06,警告
LP_0853,2024/06/18,注意
LP_0775,2019/06/23,警告
LP_0021,2015/08/06,厳重注意
LP_0021,2015/05/26,注意
LP_0021,2019/09/05,注意
LP_0592,2022/11/04,警告
LP_0297,2016/11/03,警告
LP_0297,2023/07/06,警告
LP_0868,2015/10/10,厳重注意
LP_0868,2022/09/17,警告
LP_0868,2017/03/21,警告
LP_0563,2024/06/02,厳重注意
LP_0043,2022/03/15,警告
LP_0043,2024/09/18,厳重注意
LP_0444,2023/01/18,注意
LP_0861,2023/02/24,注意
LP_0861,2021/02/20,警告
LP_0861,2016/05/07,警告
LP_0207,2023/01/13,警告
LP_0207,2023/08/10,厳重注意
LP_0207,2023/06/20,警告
LP_0253,2016/01/12,警告
LP_0253,2018/04/22,注意
LP_0253,2024/08/19,警告
LP_0739,2023/09/08,注意
LP_0739,2022/03/04,注意
LP_0739,2021/07/24,警告
LP_0644,2024/11/06,注意
LP_0644,2020/12/10,警告
LP_0644,2020/04/07,警告
LP_0467,2016/12/02,警告
LP_0467,2017/09/12,警告
LP_0467,2017/04/25,警告
LP_0278,2019/05/04,警告
LP_0668,2021/11/11,厳重注意
LP_0668,2021/12/12,注意
LP_0182,2016/04/20,注意
LP_0182,2023/02/12,警告
LP_0182,2022/05/21,警告
LP_0971,2023/01/25,警告
LP_0971,2015/05/25,警告
LP_0547,2023/01/11,警告
LP_0334,2022/04/27,注意
LP_0334,2017/01/28,注意
LP_0561,2019/05/24,警告
LP_0561,2024/07/16,注意
LP_0494,2020/11/27,注意
LP_0494,2015/04/10,警告
LP_0494,2022/02/14,注意
LP_0218,2023/09/09,警告
LP_0218,2023/12/21,注意
LP_0156,2016/08/24,厳重注意
LP_0156,2022/09/18,厳重注意
LP_0113,2015/01/19,注意
LP_0113,2015/04/16,厳重注意
LP_0361,2024/11/22,厳重注意
LP_0361,2023/08/28,注意
LP_0361,2021/05/03,警告
LP_0670,2021/11/24,警告
LP_0670,2016/11/20,厳重注意
LP_0670,2020/10/13,警告
LP_0123,2019/06/14,厳重注意
LP_0144,2019/09/01,注意
LP_0144,2021/05/28,警告
LP_0144,2015/09/05,警告
LP_0355,2019/09/15,厳重注意
LP_0355,2022/09/03,厳重注意
LP_0355,2023/10/23,厳重注意
LP_0700,2024/02/07,警告
LP_0700,2022/02/10,注意
LP_0125,2016/10/01,厳重注意
LP_0536,2017/01/19,厳重注意
LP_0536,2024/08/07,注意
LP_0536,2020/10/13,厳重注意
LP_0959,2021/05/08,厳重注意
LP_0806,2021/12/25,警告
LP_0482,2018/08/22,警告
LP_0482,2024/12/22,注意
LP_0137,2017/05/20,注意
LP_0137,2022/05/13,警告
LP_0137,2021/02/28,注意
LP_0061,2016/12/13,警告
LP_0135,2020/06/05,厳重注意
LP_0812,2016/10/08,警告
LP_0056,2017/08/09,厳重注意
LP_0389,2015/12/26,厳重注意
LP_0389,2017/12/01,警告
LP_0389,2018/12/03,厳重注意
LP_0701,2024/02/17,注意
LP_0178,2024/08/15,注意
LP_0773,2015/10/13,警告
LP_0898,2023/02/06,警告
LP_0898,2019/10/09,厳重注意
LP_0856,2022/10/11,注意
LP_0357,2015/05/03,警告
LP_0357,2016/03/28,厳重注意
LP_0732,2016/03/06,厳重注意
LP_0732,2019/03/17,警告
LP_0732,2022/12/24,注意
LP_0200,2018/07/03,警告
LP_0200,2019/04/20,警告
LP_0076,2017/06/22,厳重注意
LP_0076,2024/05/21,厳重注意
LP_0781,2022/07/12,厳重注意
LP_0781,2016/05/23,厳重注意
LP_0781,2020/04/05,厳重注意
LP_0955,2017/11/24,注意
LP_0883,2020/09/01,注意
LP_0883,2018/04/14,警告
LP_0883,2020/04/15,厳重注意
LP_0099,2015/02/25,厳重注意
LP_0099,2016/02/08,厳重注意
LP_0099,2016/10/08,警告
LP_0291,2024/02/14,警告
LP_0291,2021/05/16,注意
LP_0291,2020/03/10,注意
LP_0110,2019/06/16,注意
LP_0216,2015/07/25,注意
LP_0216,2016/09/06,注意
LP_0405,2019/11/01,警告
LP_0405,2019/03/16,注意
LP_0405,2023/10/05,注意
LP_0409,2015/02/11,注意
LP_0409,2019/10/17,厳重注意
LP_0764,2022/07/13,注意
LP_0445,2020/01/06,注意
LP_0445,2018/07/25,厳重注意
LP_0072,2022/01/01,注意
LP_0906,2022/06/04,警告
LP_0532,2024/04/19,注意
LP_0614,2020/06/13,警告
LP_0614,2019/01/28,警告
LP_0372,2016/12/12,厳重注意
LP_0372,2021/06/05,厳重注意
LP_0372,2022/08/17,注意
LP_0189,2017/10/08,注意
LP_0013,2016/03/15,注意
LP_0013,2021/03/16,注意
LP_0958,2023/09/13,厳重注意
LP_0558,2018/12/18,警告
LP_0693,2023/06/24,警告
LP_0693,2019/04/18,厳重注意
LP_0693,2020/01/22,厳重注意
LP_0890,2021/02/27,注意
LP_0682,2015/09/27,厳重注意
LP_0682,2021/04/18,注意
LP_0682,2023/05/02,警告
LP_0735,2024/07/11,警告
LP_0735,2017/07/11,厳重注意
LP_0735,2024/10/07,警告
LP_0844,2016/11/03,注意
LP_0844,2019/10/26,注意
LP_0782,2021/02/24,警告
LP_0782,2020/02/03,厳重注意
LP_0744,2024/11/28,注意
LP_0744,2019/02/27,注意
LP_0019,2020/04/13,警告
LP_0019,2018/01/10,警告
LP_0230,2023/11/03,注意
LP_0230,2022/07/15,厳重注意
LP_0385,2023/08/03,厳重注意
LP_0605,2016/02/05,厳重注意
LP_0227,2020/12/13,注意
LP_0227,2023/01/15,厳重注意
LP_0976,2019/03/15,注意
LP_0976,2023/01/08,警告
LP_0721,2018/08/09,厳重注意
LP_0606,2021/06/11,厳重注意
LP_0606,2021/03/18,警告
LP_0606,2019/04/03,厳重注意
LP_0942,2023/01/24,厳重注意
LP_0635,2017/07/19,警告
LP_0499,2017/07/23,厳重注意
LP_0499,2015/12/27,注意
LP_0383,2019/09/01,注意
LP_0383,2024/03/28,警告
LP_0383,2023/05/25,厳重注意
